,0
0,6
1,13
2,17
3,2
4,9
5,17
6,11
7,13
8,22
9,13
10,14
11,9
12,2
13,8
14,11
15,10
16,0
17,8
18,2
19,12
20,14
21,0
22,9
23,17
24,8
25,17
26,10
27,8
28,17
29,0
30,14
31,13
32,10
33,14
34,10
35,10
36,14
37,9
38,15
39,12
40,16
41,10
42,13
43,17
44,13
45,10
46,10
47,14
48,15
49,0
50,7
51,8
52,10
53,10
54,14
55,14
56,0
57,9
58,17
59,14
60,12
61,2
62,11
63,12
64,0
65,6
66,6
67,14
68,12
69,12
70,12
71,22
72,13
73,8
74,22
75,9
76,10
77,17
78,6
79,8
,precision,recall,f1-score,support
0,0.5,0.75,0.6,4.0
1,1.0,0.0,0.0,2.0
2,0.75,0.75,0.75,4.0
3,1.0,0.0,0.0,3.0
4,1.0,0.0,0.0,2.0
5,1.0,0.0,0.0,2.0
6,0.75,0.75,0.75,4.0
7,1.0,0.3333333333333333,0.5,3.0
8,0.42857142857142855,1.0,0.6,3.0
9,0.5,0.75,0.6,4.0
10,0.2727272727272727,1.0,0.42857142857142855,3.0
11,0.6666666666666666,0.5,0.5714285714285715,4.0
12,0.2857142857142857,0.6666666666666666,0.4,3.0
13,0.42857142857142855,0.75,0.5454545454545454,4.0
14,0.3,1.0,0.4615384615384615,3.0
15,0.5,0.3333333333333333,0.4,3.0
16,1.0,0.3333333333333333,0.5,3.0
17,0.375,0.75,0.5,4.0
18,1.0,0.0,0.0,3.0
19,1.0,0.0,0.0,2.0
20,1.0,0.0,0.0,3.0
21,1.0,0.0,0.0,3.0
22,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
23,1.0,0.0,0.0,2.0
24,1.0,0.0,0.0,3.0
25,1.0,0.0,0.0,3.0
accuracy,0.45,0.45,0.45,0.45
macro avg,0.7470737595737595,0.39743589743589747,0.31821767975614124,80.0
weighted avg,0.7155248917748918,0.45,0.36422327672327676,80.0
