,0
0,4
1,13
2,7
3,2
4,18
5,17
6,11
7,23
8,22
9,20
10,2
11,9
12,11
13,19
14,4
15,5
16,6
17,8
18,2
19,0
20,16
21,0
22,25
23,17
24,19
25,1
26,21
27,8
28,24
29,6
30,3
31,23
32,10
33,16
34,10
35,23
36,6
37,19
38,15
39,15
40,16
41,11
42,13
43,1
44,13
45,7
46,10
47,14
48,24
49,0
50,7
51,3
52,22
53,20
54,3
55,14
56,25
57,9
58,15
59,14
60,7
61,2
62,11
63,7
64,0
65,6
66,6
67,20
68,12
69,13
70,24
71,22
72,21
73,8
74,21
75,18
76,15
77,17
78,6
79,19
,precision,recall,f1-score,support
0,1.0,1.0,1.0,4.0
1,1.0,1.0,1.0,2.0
2,1.0,1.0,1.0,4.0
3,1.0,1.0,1.0,3.0
4,1.0,1.0,1.0,2.0
5,1.0,0.5,0.6666666666666666,2.0
6,0.6666666666666666,1.0,0.8,4.0
7,0.6,1.0,0.7499999999999999,3.0
8,1.0,1.0,1.0,3.0
9,1.0,0.5,0.6666666666666666,4.0
10,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
11,1.0,1.0,1.0,4.0
12,1.0,0.3333333333333333,0.5,3.0
13,1.0,1.0,1.0,4.0
14,1.0,1.0,1.0,3.0
15,0.75,1.0,0.8571428571428571,3.0
16,1.0,1.0,1.0,3.0
17,1.0,0.75,0.8571428571428571,4.0
18,1.0,0.6666666666666666,0.8,3.0
19,0.5,1.0,0.6666666666666666,2.0
20,1.0,1.0,1.0,3.0
21,1.0,1.0,1.0,3.0
22,1.0,1.0,1.0,3.0
23,0.6666666666666666,1.0,0.8,2.0
24,1.0,1.0,1.0,3.0
25,1.0,0.6666666666666666,0.8,3.0
accuracy,0.875,0.875,0.875,0.875
macro avg,0.9044871794871795,0.875,0.8652930402930402,80.0
weighted avg,0.913125,0.875,0.8710416666666667,80.0
