0 0, 5, 2, 4, 1, 3, 7, 6
1 5, 0, 2, 4, 1, 3, 7, 6
2 5, 2, 0, 4, 1, 3, 7, 6
3 5, 2, 7, 4, 1, 3, 0, 6
4 5, 2, 7, 4, 1, 3, 6, 0
7 5, 2, 0, 4, 1, 3, 6, 7
8 5, 2, 6, 4, 1, 3, 0, 7
9 5, 2, 6, 4, 1, 3, 7, 0
10 5, 2, 6, 0, 1, 3, 7, 4
5 5, 2, 7, 0, 1, 3, 6, 4
8 5, 2, 4, 0, 1, 3, 6, 7
9 5, 2, 4, 7, 1, 3, 6, 0
9 5, 2, 6, 4, 1, 0, 3, 7
3 5, 2, 4, 0, 1, 3, 7, 6
4 5, 2, 4, 6, 1, 3, 7, 0
4 5, 2, 7, 4, 1, 0, 3, 6
2 5, 3, 2, 4, 1, 0, 7, 6
3 5, 3, 2, 4, 1, 7, 0, 6
4 5, 3, 2, 4, 1, 7, 6, 0
5 5, 3, 2, 0, 1, 7, 6, 4
11 5, 2, 0, 6, 1, 3, 7, 4
6 5, 2, 0, 7, 1, 3, 6, 4
13 5, 2, 6, 7, 1, 3, 0, 4
14 5, 2, 6, 7, 1, 3, 4, 0
15 5, 2, 6, 0, 1, 3, 4, 7
7 5, 3, 0, 4, 1, 7, 6, 2
8 5, 0, 3, 4, 1, 7, 6, 2
8 5, 0, 2, 4, 1, 3, 6, 7
9 5, 3, 2, 4, 1, 0, 6, 7
10 5, 3, 2, 4, 1, 6, 0, 7
11 5, 3, 2, 4, 1, 6, 7, 0
12 5, 3, 2, 0, 1, 6, 7, 4
14 5, 3, 0, 4, 1, 6, 7, 2
15 5, 0, 3, 4, 1, 6, 7, 2
11 5, 3, 0, 4, 1, 6, 2, 7
12 5, 0, 3, 4, 1, 6, 2, 7
15 5, 3, 7, 4, 1, 6, 0, 2
16 5, 3, 7, 4, 1, 6, 2, 0
15 5, 3, 4, 0, 1, 6, 7, 2
16 5, 3, 4, 2, 1, 6, 7, 0
16 5, 6, 3, 4, 1, 0, 7, 2
17 5, 6, 3, 4, 1, 7, 0, 2
18 5, 6, 3, 4, 1, 7, 2, 0
17 5, 3, 7, 0, 1, 6, 2, 4
19 5, 6, 3, 0, 1, 7, 2, 4
13 5, 3, 0, 2, 1, 6, 7, 4
14 5, 0, 3, 2, 1, 6, 7, 4
12 5, 3, 4, 0, 1, 6, 2, 7
13 5, 3, 4, 7, 1, 6, 2, 0
13 5, 6, 3, 4, 1, 0, 2, 7
