0 0, 5, 2, 4, 1, 3, 7, 6
1 1, 5, 2, 4, 0, 3, 7, 6
3 1, 5, 2, 4, 6, 3, 7, 0
4 1, 0, 2, 4, 5, 3, 7, 6
5 1, 3, 2, 4, 5, 0, 7, 6
5 1, 2, 0, 4, 5, 3, 7, 6
6 1, 3, 2, 4, 5, 7, 0, 6
7 1, 3, 2, 4, 5, 7, 6, 0
6 1, 2, 4, 0, 5, 3, 7, 6
8 1, 3, 2, 0, 5, 7, 6, 4
7 1, 2, 4, 6, 5, 3, 7, 0
6 1, 2, 7, 4, 5, 3, 0, 6
7 1, 2, 7, 4, 5, 3, 6, 0
7 1, 2, 7, 4, 5, 0, 3, 6
10 1, 2, 0, 4, 5, 3, 6, 7
8 1, 2, 7, 0, 5, 3, 6, 4
11 1, 2, 6, 4, 5, 3, 0, 7
12 1, 2, 6, 4, 5, 3, 7, 0
11 1, 2, 4, 0, 5, 3, 6, 7
12 1, 2, 6, 4, 5, 0, 3, 7
13 1, 2, 6, 0, 5, 3, 7, 4
12 1, 2, 4, 7, 5, 3, 6, 0
11 1, 2, 7, 6, 5, 3, 0, 4
13 1, 2, 6, 4, 0, 5, 3, 7
15 1, 2, 6, 4, 7, 5, 3, 0
11 1, 0, 2, 4, 5, 3, 6, 7
12 1, 3, 2, 4, 5, 0, 6, 7
13 1, 3, 2, 4, 5, 6, 0, 7
14 1, 3, 2, 4, 5, 6, 7, 0
15 1, 3, 2, 0, 5, 6, 7, 4
14 1, 3, 0, 4, 5, 6, 2, 7
17 1, 3, 0, 4, 5, 6, 7, 2
16 1, 3, 0, 2, 5, 6, 7, 4
18 1, 0, 3, 4, 5, 6, 7, 2
18 1, 3, 4, 0, 5, 6, 7, 2
19 1, 3, 4, 2, 5, 6, 7, 0
17 1, 3, 7, 2, 5, 6, 0, 4
17 1, 0, 3, 2, 5, 6, 7, 4
19 1, 6, 3, 4, 5, 0, 7, 2
20 1, 3, 4, 2, 5, 6, 0, 7
18 1, 3, 7, 2, 5, 6, 4, 0
20 1, 6, 3, 4, 5, 7, 0, 2
21 1, 6, 3, 4, 5, 7, 2, 0
18 1, 6, 3, 2, 5, 0, 7, 4
22 1, 6, 3, 0, 5, 7, 2, 4
19 1, 6, 3, 2, 5, 7, 0, 4
18 1, 3, 2, 7, 5, 6, 0, 4
15 1, 0, 3, 4, 5, 6, 2, 7
15 1, 3, 4, 0, 5, 6, 2, 7
18 1, 3, 7, 4, 5, 6, 0, 2
19 1, 3, 7, 4, 5, 6, 2, 0
20 1, 6, 3, 2, 5, 7, 4, 0
19 1, 3, 2, 7, 5, 6, 4, 0
16 1, 6, 3, 4, 5, 0, 2, 7
17 1, 6, 3, 4, 5, 2, 0, 7
18 1, 6, 3, 4, 5, 2, 7, 0
19 1, 6, 3, 0, 5, 2, 7, 4
16 1, 3, 4, 7, 5, 6, 2, 0
20 1, 3, 7, 0, 5, 6, 2, 4
22 1, 6, 3, 7, 5, 2, 0, 4
20 1, 3, 2, 0, 5, 6, 4, 7
18 1, 6, 0, 4, 5, 2, 3, 7
23 1, 6, 3, 7, 5, 2, 4, 0
21 1, 6, 0, 4, 5, 2, 7, 3
19 1, 6, 4, 0, 5, 2, 3, 7
24 1, 6, 3, 0, 5, 2, 4, 7
22 1, 6, 7, 4, 5, 2, 0, 3
23 1, 6, 7, 4, 5, 2, 3, 0
22 1, 6, 4, 0, 5, 2, 7, 3
23 1, 6, 4, 3, 5, 2, 7, 0
22 1, 6, 4, 3, 5, 2, 0, 7
20 1, 6, 4, 7, 5, 2, 3, 0
24 1, 6, 7, 0, 5, 2, 3, 4
20 1, 6, 0, 3, 5, 2, 7, 4
27 1, 6, 7, 3, 5, 2, 0, 4
28 1, 6, 7, 3, 5, 2, 4, 0
18 0, 1, 3, 2, 5, 6, 7, 4
20 2, 1, 3, 0, 5, 6, 7, 4
21 2, 1, 3, 4, 5, 6, 7, 0
22 2, 1, 3, 4, 5, 6, 0, 7
21 2, 1, 0, 3, 5, 6, 7, 4
23 2, 1, 3, 7, 5, 6, 0, 4
24 2, 1, 0, 4, 5, 6, 7, 3
23 2, 1, 3, 4, 5, 0, 6, 7
22 2, 1, 7, 3, 5, 6, 0, 4
24 2, 1, 3, 7, 5, 6, 4, 0
25 2, 1, 7, 4, 5, 6, 0, 3
26 2, 1, 7, 4, 5, 6, 3, 0
25 2, 1, 4, 0, 5, 6, 7, 3
26 2, 1, 4, 3, 5, 6, 7, 0
23 2, 1, 7, 3, 5, 6, 4, 0
27 2, 1, 7, 0, 5, 6, 3, 4
27 2, 1, 4, 3, 5, 6, 0, 7
25 2, 1, 3, 0, 5, 6, 4, 7
23 2, 1, 0, 4, 5, 6, 3, 7
24 2, 1, 4, 0, 5, 6, 3, 7
25 2, 1, 4, 7, 5, 6, 3, 0
21 1, 3, 4, 2, 5, 0, 6, 7
26 2, 1, 0, 3, 5, 6, 4, 7
28 2, 1, 4, 3, 5, 0, 6, 7
24 2, 0, 1, 4, 5, 6, 3, 7
28 2, 1, 4, 7, 5, 6, 0, 3
24 2, 1, 7, 0, 5, 6, 4, 3
21 6, 1, 3, 2, 5, 0, 7, 4
25 2, 6, 1, 4, 5, 0, 3, 7
25 0, 2, 1, 4, 5, 6, 3, 7
21 1, 6, 0, 4, 5, 7, 3, 2
22 6, 1, 3, 2, 5, 7, 0, 4
19 1, 3, 7, 0, 5, 6, 4, 2
21 1, 3, 0, 2, 5, 6, 4, 7
26 2, 1, 7, 4, 5, 0, 6, 3
28 6, 2, 1, 4, 5, 0, 3, 7
22 1, 6, 4, 0, 5, 7, 3, 2
23 1, 6, 4, 2, 5, 7, 3, 0
25 2, 0, 1, 4, 5, 6, 7, 3
24 2, 1, 3, 4, 0, 5, 6, 7
26 2, 1, 3, 4, 7, 5, 6, 0
24 2, 0, 3, 4, 5, 1, 6, 7
29 6, 2, 1, 4, 5, 3, 0, 7
30 6, 2, 1, 4, 5, 3, 7, 0
22 2, 0, 1, 3, 5, 6, 7, 4
24 2, 1, 3, 7, 5, 0, 6, 4
26 0, 2, 1, 4, 5, 6, 7, 3
24 2, 1, 0, 7, 5, 6, 3, 4
25 2, 3, 0, 4, 5, 1, 6, 7
18 1, 3, 7, 2, 5, 0, 6, 4
24 1, 6, 0, 4, 5, 7, 2, 3
25 1, 6, 2, 4, 5, 7, 0, 3
26 1, 6, 2, 4, 5, 7, 3, 0
26 1, 6, 2, 4, 5, 0, 7, 3
27 1, 6, 2, 0, 5, 7, 3, 4
27 1, 0, 2, 4, 5, 6, 7, 3
28 1, 2, 0, 4, 5, 6, 7, 3
29 1, 2, 7, 4, 5, 6, 0, 3
30 1, 2, 7, 4, 5, 6, 3, 0
29 1, 2, 4, 0, 5, 6, 7, 3
30 1, 2, 4, 3, 5, 6, 7, 0
31 1, 2, 7, 0, 5, 6, 3, 4
33 1, 2, 0, 4, 5, 6, 3, 7
