,0
0,1
1,20
2,23
3,2
4,18
5,17
6,11
7,23
8,22
9,11
10,6
11,15
12,11
13,24
14,1
15,5
16,4
17,8
18,2
19,13
20,1
21,0
22,25
23,9
24,19
25,1
26,22
27,8
28,19
29,13
30,14
31,13
32,13
33,16
34,13
35,21
36,6
37,19
38,15
39,15
40,16
41,11
42,13
43,17
44,12
45,13
46,12
47,14
48,12
49,0
50,7
51,3
52,11
53,13
54,16
55,14
56,23
57,9
58,17
59,14
60,7
61,2
62,11
63,14
64,17
65,6
66,16
67,20
68,12
69,21
70,24
71,25
72,25
73,8
74,22
75,18
76,9
77,17
78,2
79,19
,precision,recall,f1-score,support
0,1.0,0.5,0.6666666666666666,4.0
1,0.25,0.5,0.3333333333333333,2.0
2,0.75,0.75,0.75,4.0
3,1.0,0.3333333333333333,0.5,3.0
4,0.0,0.0,0.0,2.0
5,1.0,0.5,0.6666666666666666,2.0
6,0.3333333333333333,0.25,0.28571428571428575,4.0
7,1.0,0.6666666666666666,0.8,3.0
8,1.0,1.0,1.0,3.0
9,0.3333333333333333,0.25,0.28571428571428575,4.0
10,1.0,0.0,0.0,3.0
11,0.6666666666666666,1.0,0.8,4.0
12,0.25,0.3333333333333333,0.28571428571428575,3.0
13,0.125,0.25,0.16666666666666666,4.0
14,0.6,1.0,0.7499999999999999,3.0
15,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
16,0.5,0.6666666666666666,0.5714285714285715,3.0
17,0.4,0.5,0.4444444444444445,4.0
18,1.0,0.6666666666666666,0.8,3.0
19,0.25,0.5,0.3333333333333333,2.0
20,0.5,0.3333333333333333,0.4,3.0
21,0.0,0.0,0.0,3.0
22,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
23,0.3333333333333333,0.5,0.4,2.0
24,0.5,0.3333333333333333,0.4,3.0
25,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
accuracy,0.4625,0.4625,0.4625,0.4625
macro avg,0.530448717948718,0.4551282051282052,0.44768009768009764,80.0
weighted avg,0.539375,0.4625,0.45731150793650793,80.0
